&	10000
，	824170
风	146594
春	127467
一	121475
人	111452
月	110554
山	101815
心	101535
花	101521
天	95247
水	86033
千	81053
无	68423
不	68388
云	66256
有	63712
中	59942
情	58976
万	57905
生	57359
来	55192
三	55158
大	54495
秋	53532
香	51334
梦	51040
清	50844
新	50382
雨	49134
日	48467
年	46698
海	45662
地	45562
开	44477
里	44196
诗	43212
世	43116
国	42509
红	41784
上	40928
古	40684
明	39747
长	38922
文	38690
为	37493
家	37424
流	36278
气	35948
高	35900
光	35659
色	34866
江	34622
子	34548
酒	34403
时	33860
如	33739
百	32752
青	31986
声	31834
自	31698
成	31088
民	30774
柳	30493
意	30472
龙	30178
事	29832
书	29729
道	29604
是	29431
金	29426
飞	29245
歌	28786
行	28570
下	28195
和	27801
雪	26963
醉	26812
梅	26773
绿	26660
名	26655
神	26527
何	26200
华	26188
好	26176
我	26003
玉	25921
多	25764
老	25740
难	25451
落	25443
四	25368
画	25016
满	24947
小	24769
白	24681
同	24473
知	24443
在	23862
马	23770
笔	23596
客	23560
处	23149
福	23031
美	22999
九	22867
门	22334
空	22242
头	22048
方	21990
喜	21914
乐	21719
思	21615
韵	21530
入	21518
业	21461
德	21308
出	21222
兴	21133
看	21058
五	20923
路	20802
烟	20784
重	20780
怀	20544
竹	20541
常	20475
联	20413
传	20331
前	20284
、	20261
几	20182
当	20040
间	20006
十	19942
相	19917
平	19841
今	19707
远	19579
得	19504
影	19499
城	19453
东	19414
起	19360
身	19247
可	19209
归	19166
南	19151
岁	19138
树	19090
能	19083
夜	19017
景	19002
正	18738
两	18420
真	18281
尽	18218
河	18132
作	17984
去	17918
对	17846
闲	17768
彩	17504
黄	17386
爱	16943
草	16864
留	16737
楼	16698
寒	16434
舞	16373
碧	16347
共	16342
墨	16314
迎	16287
燕	16271
州	16189
曲	16178
湖	16130
才	16040
阳	16036
外	16023
盛	15815
扬	15783
此	15726
分	15683
西	15611
经	15559
志	15534
叶	15508
锦	15432
深	15415
观	15410
笑	15330
桃	15284
谁	15283
安	15210
学	15161
八	15158
眼	15099
石	15067
雄	15001
后	14963
浪	14720
更	14703
半	14675
星	14631
尘	14565
雅	14470
图	14456
化	14370
言	14368
手	14367
秀	14340
吟	14312
北	14310
仙	14283
点	14189
林	14012
游	13785
回	13714
乡	13607
以	13601
富	13582
将	13529
似	13476
先	13403
野	13262
过	13210
朝	13199
园	13182
语	13150
载	12992
翠	12987
松	12957
随	12841
公	12631
法	12556
芳	12533
圆	12519
凤	12458
展	12420
发	12401
然	12400
功	12374
见	12364
窗	12347
放	12318
未	12302
非	12241
君	12239
波	12183
通	12141
壮	12113
夏	12030
火	12024
旧	11998
腾	11976
犹	11954
愁	11934
于	11932
辉	11929
字	11906
胜	11900
卷	11895
面	11888
善	11793
？	11785
淡	11734
边	11696
独	11672
欢	11671
台	11660
听	11657
故	11653
望	11634
灵	11618
从	11559
霞	11534
之	11513
品	11500
立	11484
莫	11458
英	11430
章	11416
奇	11394
精	11364
到	11338
临	11325
句	11323
皆	11292
舟	11265
佛	11237
照	11102
泉	11086
音	11068
关	11061
问	11046
轻	11031
鸟	11022
寻	11019
峰	11016
枝	10803
与	10799
信	10777
境	10768
双	10763
步	10616
已	10615
杯	10608
静	10553
物	10508
会	10494
圣	10451
紫	10419
添	10363
代	10319
欲	10315
力	10290
妙	10191
须	10157
求	10150
露	10128
登	10126
汉	10091
暖	10069
凭	10068
幽	10017
界	10004
虎	10001
士	9976
佳	9953
争	9873
苦	9811
鹤	9765
岸	9705
政	9702
动	9696
宝	9687
缘	9675
史	9671
魂	9653
谐	9635
惊	9588
浮	9585
而	9539
女	9440
溪	9435
少	9432
本	9399
土	9392
依	9362
闻	9353
教	9342
木	9264
茶	9198
贤	9167
源	9157
若	9143
岭	9123
义	9122
冷	9081
二	8986
报	8907
容	8885
霜	8849
向	8840
居	8809
康	8771
送	8758
雁	8694
还	8672
丹	8659
堂	8657
祥	8630
修	8623
唱	8621
荷	8617
运	8595
众	8574
兰	8539
节	8528
味	8518
连	8494
骨	8417
漫	8414
琴	8402
